name,activity,inside,nature,photo
1943,0,1,0,1
20세기 소년,0,1,0,1
가로수길마루,0,1,0,1
가치,0,1,0,1
곱을락,0,1,0,0
곽지BAR다,0,1,0,1
금능반지하,0,1,0,1
기분,0,1,0,1
기어서집까지,0,1,0,0
김녕회관,0,1,0,1
김씨술생활 제주협재점,0,1,0,1
꼬란,0,1,0,0
노가리앤비어 도남점,0,1,0,1
늘여름,0,1,0,1
다미야 서귀포점,0,1,0,0
달사막,0,1,0,1
담이자카야,0,1,0,1
닻,0,1,0,1
더부즈 제주,0,1,0,1
동남막걸리,0,1,0,1
두꺼비,0,1,0,0
라비에,0,1,0,1
마루아라,0,1,0,1
마이도,0,1,0,0
모루쿠다,0,1,0,0
무시로,0,1,0,0
미친부엌,0,1,0,1
바코,0,1,0,1
브루클린 제주,0,1,0,1
블랙바 서귀포점,0,1,0,0
블루홀,0,1,0,0
빨간집 서귀포점,0,1,0,1
사우스바운더,0,1,0,1
성산연화,0,1,0,1
소앵븟,0,1,0,0
술시,0,1,0,1
쉬림포크,0,1,0,1
스나쿠타카,0,1,0,1
스크루지펍,0,1,0,0
스톤아일랜드 탭하우스,0,1,0,1
스피닝울프,0,1,0,1
심야식당 코나카,0,1,0,0
십오야,0,1,0,1
싱싱잇,0,1,0,1
아일랜드스톤,0,1,0,1
알리바이룸,0,1,0,0
야키토리타키비,0,1,0,0
에스토에스디네로,0,1,0,1
역전할머니맥주 노형점,0,1,0,0
영또민속주점,0,1,0,1
올댓제주,0,1,0,1
요리바카,0,1,0,1
우드스탁,0,1,0,0
우미관,0,1,0,1
원님네포장마차,0,1,0,1
월령작야달의객잔,0,1,0,1
위미테이블,0,1,0,0
육지것들,0,1,0,0
은주식당,0,1,0,1
이공이시,0,1,0,0
이듸포차,0,1,0,0
인디안썸머,0,1,0,1
제리스펍,1,1,0,0
제주약수터 본점,0,1,0,0
제주약수터 올레시장점,0,1,0,0
좀녀와농부,0,1,0,0
주민상회 제주노형점,0,1,0,1
주점부리,0,1,0,0
주점부리 신양본점,0,1,0,0
찰스앤바비,0,1,0,1
창흥상회편의점포차,0,1,0,1
청담이상 신제주점,0,1,0,1
카페베트로,0,1,0,1
쿠주,0,1,0,1
팁시테이블,1,1,0,0
파라디스코 레트로퓨처,0,1,0,1
한신포차 제주연동점,0,1,0,0
해바라기,0,1,0,1
헤븐앤얼스,0,1,0,1
협재1번가,0,1,0,1
호랑이,0,1,0,1
화산2020,0,1,0,0
