0|1|2|3
호프,요리주점|제주약수터 올레시장점|5|줄서서 기다려야 했지만 그 이상의 가치가 있는 맥주 였습니다. 가격이 좀 있지만 그만한 이유가 있는 맛이였습니다.
호프,요리주점|제주약수터 올레시장점|5|올레시장 가면 꼭 가봐야할 맥주 편집샵 다양한 제주도의 수제맥주를 한 곳에서 저렴하게 즐길 수 있다…
호프,요리주점|제주약수터 올레시장점|5|극성수기때라서 사람 많음. 40분 기다림. 직원분 친절하고 테이스팅 할수도 있고 좋음
호프,요리주점|제주약수터 올레시장점|5|#서귀포 #제주맥주 #제주약수터 #수제맥주 #craftbeer #서귀포맥주 #맥주맛집 #올레길 #tangerineradler #ale #greenteaporter #sourale #weizen #🍺 .…
호프,요리주점|제주약수터 올레시장점|4|독특하고 맛있는 맥주를 파는곳 양에 비해 비싸기는 합니다
호프,요리주점|제주약수터 올레시장점|5|흔히 마시는 가벼운 목넘김의 라거가 아니다보니 일행끼리도 맛의 호불호는 있지만 주문하고 기다리는 시간이 짧지 않음에도 그 시간을 느끼지 못하게 시음주?도 챙겨주시고 응대하는 말투도 상냥하시고 전반적인 서비스가 만족스러웠습니다. 민트초코맛맥주 블루베리맛맥주 등 신기한 맛도 있어서 재미있는 맛의 경험도 할 수 있어 이번 제주여행이 좀 더 즐거울 수 있었습니다. 제주 여행의 주제가 식도락이라면 여행 코스 중 하나로 완전 추천합니다.
호프,요리주점|제주약수터 올레시장점|5|개별맞춤형으로 추천해주는 제대로 된 맥주 집. 맥주 맛은 사실 잘 감별하지 못하지만.. 고객의 취향과 원하는 맛을 추천해주고 고객이 시음 후 최종 pick할 때까지 별도의 공간에 모셔, 충분한 시간을 주는 것은 상당히 매력적이었음.
호프,요리주점|제주약수터 올레시장점|5|서귀포 매일올레시장에 들릴때마다 시간됨면 오는곳입니다 시장에서 구매한 다양한 안주와 먹기 좋은 맥주마시기 좋은 곳입니다
호프,요리주점|제주약수터 올레시장점|5|마농치킨 사장님 추천으로 간 제주약수터 제주 수제 맥주집이고 직원들 모두 친절하고 맥주에 대한 설명도 좋았습니다! 성공적으로 추천 받고 왔습니다!
호프,요리주점|제주약수터 올레시장점|5|자연과 재래시장은 진짜입니다^^ 바가지니뭐니 그런걱정 말아요 어쩌다오는데 그런거로 기분나쁠필요 없지요 좋은게 더 많으니까^^
호프,요리주점|제주약수터 올레시장점|5|대부분 무료시음 세잔 맛보고 포장을 해갑니다만 이번에는 가게앞 야외 테이블에서 마셔봤습니다. 맥주맛도 강추고 야외 테이블석에서 올래시장 안주 포장해서 먹어도 되니(뒷처리 깨끗이) 다양한 맥주를 마셔도되니 좋더군요.
호프,요리주점|제주약수터 올레시장점|5|맥주 맛있구요. 시음 3잔 해볼수있는게 너무 좋은것 같아요.  제주도 올때마다 가야겠어요.
호프,요리주점|제주약수터 올레시장점|5|제주도만의 특색있는 수제맥주 제주도 올 때마다 항상 방문합니다 거문오름 특히 맛있어요
호프,요리주점|제주약수터 올레시장점|5|쥬시한 맥주를 판매 하는곳 ...재밌다
호프,요리주점|제주약수터 올레시장점|5|테이스팅 가능 이색적인 맥주맛 분위기 좋구 직원 친절함
호프,요리주점|제주약수터 올레시장점|5|또왔음 제주도에 과일수제맥주 맛집 상큼하고 쌉사름한게 잘 어울려짐…
호프,요리주점|제주약수터 올레시장점|5|진짜 먹을거리 많습니다. 장보고 숙소에서 드시는거 추천합니다.
호프,요리주점|제주약수터 올레시장점|4|괜찮은데 비싸고 웨이팅이 길다
호프,요리주점|제주약수터 올레시장점|4|테이크아웃점 4종류 사먹었는데 실패한게 없으니 맛보기용으로 여러종류 사가능 것을 추천
