0|1|2|3
국수|가시아방국수|2|고기국수 맛은 뭐...그냥 제주도 딴데서도 먹을 수 있는 맛이었고 제 기준으로는 특별나게 와~ 맛있다 까지는 아니었습니다. 왜 유명한지는 모르겠는데 사람이 너무 많아서 30분은 기다렸다가 입장 했습니다. 힘들게 고기국수 드실거면 그냥 딴데서 드세요. 딴데도 평타 이상인데는 넘쳐 나는데가 제주도입니다.
국수|가시아방국수|3|목요일 아침 오픈시간에도 사람이 몰려와 금새 주차장이 차고, 도보 이용객들도 와서 테이블이 만석이 됩니다. 고기국수 국물은 곰탕국물처럼 진한데 곰탕정도는 아니고, 면은 시제품 짬뽕면과 똑같습니다. 돔베고기는 두툼하고 비린맛이 전혀 없습니다.…
국수|가시아방국수|3|숙소가 근처라 오전에 방문했더니 대기없이 자리에 앉을 수 있었습니다. 둘이서 고기국수와 비빔국수를 주문해서 먹었는데 양이 많아서 2개만 먹어도 조금 남겼고, 배가 엄청 불렀습니다. 고기국수의 육수는 제 입엔 너무 짜서 먹기 힘들었는데 제가 간 날만 그런지는 모르겠네요. 비빔이 그나마 나았는데 무난한 맛이었습니다. 엄청 유명한 거에 비해 맛은 보통수준이라 굳이 기다려가면서 먹을건 아닌거 같아요. 셀프 반찬에 뚜껑이 없다보니 붙어있는 파리들이 신경쓰여서 더 먹기가 그랬습니다😒
국수|가시아방국수|3|국물이 짜서 보통입니다. 고기는 맛있게 잘 삶았네요. 세시쯤 갔는데도 9팀이나 웨이팅 중이라 깜놀... 국수가격 치고는 저렴하거나 하지는 않아요. 한번 맛본걸로 만족
국수|가시아방국수|4|일단 양이 굉장히 많았서요😆 4명이 가면 3인분만 시켜도 배 빵빵하게 먹을 수 있었어요. 고기국수 국물이 정말 맛있었어요. 진짜 한 숟가락 먹자마자 아 맛있다 하게 되는 맛이였어요. 사진처럼 들어있는 파 고기 김 등 굉장히 잘 어울려었어요. 다만 국수는 그냥 무난했어요. 다른 그릇들도 그냥 무난하게 맛있었어요.…
국수|가시아방국수|5|주차장도 넓직하고 가게도 시원시원하게 있어 어렵지 않게 찾아갈 수 있었습니다. 담백한 고기국수에 맛있는 돔베고기 맛있게 먹었습니다. 개인적으로 제주도라 그런가 쌈장보다 새우젓에 먹는 돔배고기가 더 맛났습니다.…
국수|가시아방국수|5|비빔국수는 양념이 맛있고, 고기국수는 순대국에 면을 넣은 느낌. 맛이 없다는게 아니라, 그 맛이 남. 수육은 고기가 진짜 부드러움. 커플 세트 먹었는데, 국수가 양이 엄청 많은 편.…
국수|가시아방국수|3|양은 많아요. 비빔 먹었는데 딱 쫄면맛이라 의아해하면서 먹었어요. 그냥 고기 국수는 먹어보지 않아서 평가불가. 돔베고기는 쫄깃쫄깃하고 맛있었는데 살코기 부분이 너무 적었어요. 고기는 보쌈보다 족발느낌이었어요.
국수|가시아방국수|5|오전에 가니 기다리지 않고 먹을 수 있었습니다. 아점으로 먹기 좋습니다. 비빔국수도 맛있고 고기국수도 맛있습니다. 돔베고기도 부드럽고 맛있었어요. 비빔국수는 매콤한 감칠맛이 있고, 고기국수는 다른 집과 다르게 국물이 깔끔하고 담백해서 좋습니다.
국수|가시아방국수|4|고기국수는 아무래도 돈코츠라멘 하위호환 느낌이 강함. 제주도에서 이름난 고기국수가 이 정도라면 다른 고기국수도 마찬가지일듯. 그러나 여기 다시 들릴 의사가 있냐고 묻는다면 100퍼 다시 방문 의사있음. 왜냐하면 돔베고기가 정말 훌륭하기 때문. 그냥 먹어도 졸맛, 쌈 싸먹어도 졸맛, 비빔국수와 먹어도 졸맛, 그리고 가장 베스트조합은 상추에 돔베고기랑 고기국수 면 함께 싸먹는거. 이거 조오오온나 찐임. 고기국수 존재 이유는 이 조합을 위해서다. 꼭 따라해서 먹어보시길.
국수|가시아방국수|3|엄청 배고팠는데 그렇게 맛있지는 않았어요. 국물은 맛있지만, 들어있는 고기가 맛이 특이해요. 달달하면서 한방향이 나는데 별로였어요. 7시 반에 가서 웨이팅 없이 들어갔는데 웨이팅해서 먹기에는 글쎄요.
국수|가시아방국수|1|두번째방문 첫번째는 그럭저럭 이번엔 실망…
국수|가시아방국수|5|고기국수와 비빔국수를 먹었는데 고기국수는 깔끔하고 돔베고기도 많이 올려줘서 좋았고 비빔국수는 개맛있다 두꺼운면이라서 더 맛있었다
국수|가시아방국수|5|2시가 넘은 시간에 방문했는데도 대기가 있을 정도로 손님이 많았음. 아이 포함 3명이서  커플세트+공기밥 시켰는데 양이 많아서 남김 오랜만에 고기국수 너무 맛있었음
국수|가시아방국수|5|비빔국수와 돈베 고기 정말 최고입니다.
국수|가시아방국수|5|솔직히 그냥 국수만먹는다고하면 아아아아주 만족스럽지는 않앗을텐데.. 이집은 고기를 너무잘합니다..고기가 아주 야들야들 부드럽고 ㅠ..돔베고기 따로 꼭 시켜드셔야해요 그게 진짜 마싯음
국수|가시아방국수|4|어플로 사전 등록하고 차에서 기다리다 부르면 들어가는 방식임! 고기국수는 진하진 않지만 면과 잘어울림! 비빔국수도 맛있고, 특히 돔배고기가 맛있는 집
국수|가시아방국수|4|12시도착했더니 대기4번. 10분기다렸고, 비빔국수가 더맛있어요! 양념이 맛있어요! 고기국수는 나오자마자 먹으면 면따로 육수따로 놀아서 스며든후 먹어야 맛나요
국수|가시아방국수|5|돔베고기 어마어마한 맛이었다ㅋ 커플세트로 고기국수와 비빔국수 선택하면 좋다
국수|가시아방국수|5|인테리어는 그럭저럭. 돔베고기가 기깔나다. 돈코츠 혹은 사골육수로 하는데, 고기가 맛있으니 고기국수 맛이 좋다. 제주에서 고기국수를 먹겠다면 힌번쯤은 들러봐도 좋다고 생각된다.
국수|가시아방국수|3|고기국수 멸치국수 시켰어요 고기국수가 더 맛나요 멸치 국수에는 고기 없네요 약간 익은 김치와 멸치국수 맛나요
국수|가시아방국수|4|가서 기다리지 말고 예써앱 깔고 미리 웨이팅 하시고 시간 맞춰 가세요! 꿀팁입니다.  한시간 정도 기다려서 너무 힘들었지만 가성비 너무 맛있게 먹고왔습니다!…
국수|가시아방국수|5|믿고 먹는 수요미식회 비빔은 그럭저럭이지만 고기국수는 맛있네요. 후추맛이 다른집보다 더 나요.
국수|가시아방국수|3|음.. 고기는 맛있는데.. 더워서 비빔국수 먹었는데 쫄면 두께의 소면.. 양념은 뭔가 텁텁..…
