0|1|2|3
호프,요리주점|제리스펍|5|이야... 여기가 주관적인 제주 가장 맛집인듯. 추천 메뉴로 받은 저 브릿치즈 오븐구이가 미친듯 맛있는지 몰랐다. 그리고 여기는 포켓볼 공짜에 다트도 해볼 수 있는 엑티비티도 있는 느낌있는 펍이다.
호프,요리주점|제리스펍|4|맛있어요ㅎㅎㅎ 수제맥주는 무난해요. 안주가 맛이있구요~홍합과 감자메쉬 케미가 좋아요 매콤한 홍합소스에 감자를 적셔 먹으면 맥주가 술술 ㅎㅎ 한잔하며 다트하고 한잔하며 포케볼 치고 한잔하면 보드게임하고 즐겁습니다.ㅎㅎ
호프,요리주점|제리스펍|5|처음 기다릴때 주시는 면튀긴거 생각보다 새우깡 느낌ㅋㅋㅋ 자꾸 손이갑니다 스파이시홍합인가 이메뉴는 진짜 설명대로 맛있게 매운 딱 소주안주느낌!!!치킨도 맛있었지만((홍합소스에 찍어먹어도 맛있)) 치킨이랑 나오는 감튀도 만만치않은 강적느낌ㅋㅋㅋㅋ…
호프,요리주점|제리스펍|5|영업시간이 2021년 1월 3일 까지 변경 11시ㅡ21시 홀 사용가능 & 포장,배달가눙 ,  코로나로 인해 21시ㅡ24시 포장,배달 만 가능. 가볍게 낮술🍹 하며 즐기는 포켓볼과 다트게임 👍
호프,요리주점|제리스펍|5|맛 좋은 사천원대 수제맥주 6종. 포켓볼, 다트 시설. 서귀포, 제주 뿐만 아니고 전국적으로 경쟁력 있는 곳. 재방문 의사 있어요.
호프,요리주점|제리스펍|5|바디감있는 수제맥주에 음식도 맛있어요 다트랑 보드게임도 할수있고 기분좋은곳이에요~
호프,요리주점|제리스펍|5|재밌는 젠가도 있고 분위기 좋은 펍입니다. 맥주도 맛있어요. 호가든 좋아하시는분 화이트 추천
호프,요리주점|제리스펍|4|칵테일 가볍게 마시러 가기 좋아요! 평일 저녁시간 대 가서 사람도 없고 좋았어요. 깔루아밀크 짱맛!
호프,요리주점|제리스펍|4|분위기가 좋아서 자주 가는 곳^^ 포켓볼도 다트게임도 할수 있으니 더 좋은것 같아요.^^맥주는 종류가 많아서 취향대로 즐길수 있어서 좋고요.
호프,요리주점|제리스펍|4|제주 구시가지에서 찾은 드렌디한 펍. 맥주 맛있고, 안주도 훌륭. 포켓볼당구대와 다트도 있어요.
호프,요리주점|제리스펍|5|게임하면서 먹을수있는곳 안주도 너무 맛있어요
호프,요리주점|제리스펍|5|분위기 좋고, 수제 맥주도 갖추었고 특히 이 집은 안주가 일품입니다.
호프,요리주점|제리스펍|5|분위기 깡패👍 포켓볼 무료 다트게임 시설도 있고 즐거웠어요ㅎㅎ
호프,요리주점|제리스펍|4|보드 게임과 당구대 있음. 음식도 맛있음. 근데 너무 늦게 나옴! 마늘 빵 어쩌고는 별로였지만 매쉬포테토 존맛.
호프,요리주점|제리스펍|5|사장님 친절하시고 드래프트 맥주 맛나고 구성도 괜찮아서 좋은 시간 보냈네요^^ 포켓볼 테이블이랑 큐대도 관리가 잘되어서 치는데 불편함 없었어요~☆
호프,요리주점|제리스펍|5|색다른 경험^^  20년전에 해봤던 포켓볼도 쳐보구~ 맛난 맥주도 경험해 보구~ 기분 좋다^^
호프,요리주점|제리스펍|5|서귀포 바다근처에서 가볍게 한잔 하려면 여기만한 곳이 없습니다. 호프 펍이 이렇게 안주음식에 힘을쓰는것에 놀라웠습니다. 안주거리가 맛집 수준은 아니어도 기분좋은 맛으로 다가옵니다. 실제 사장님이 호프 펍 임에도 불구하고 요리에 대한 장인정신이 있음. 술집에서 돈까스를 냉동이 아니고 두드려 직접 만드는 곳은 첨봤음.
호프,요리주점|제리스펍|4|수제 맥주도 맛있고 다트 및 당구대가 있어서 줄겁습니다.
호프,요리주점|제리스펍|5|맥주 맛있어요
호프,요리주점|제리스펍|5|포켓볼도 칠수 있고 각종 보드게임이 있어 너무 좋음 ㅠㅠ. 안주도 맛있고 맥주도 먹을 만 하고 좋음!
호프,요리주점|제리스펍|5|안주도 다 맛잇다. 다트게임하러 자주 들르는곳 그 외 포켓볼등..다수게임을 즐길스 있는갓들이 많다
호프,요리주점|제리스펍|4|수제맥주에 전자다트 포켓볼 사이드메뉴도 괜춘
호프,요리주점|제리스펍|5|친절하시네요 잘놀다갑니다!
호프,요리주점|제리스펍|4|아그와밤이 없어 좀 슬펐지만 사장님과 일하시는 분들 모두 친절^^ 여성분들이 많이 오시는 것 같아요!! 당구치기 재밌음 음식도 괜찮아요
호프,요리주점|제리스펍|5|가성비라고 평가하기엔 너무 맛있고 분위기가 좋아서 진짜 최고네요. 가격도 너무 괜찮고 맛있고 분위기도 좋습니다. 강추에요~^^
호프,요리주점|제리스펍|5|맛있어요.   치고예요
호프,요리주점|제리스펍|5|찾아가기가 어려웠음.그래도들어가니.너무깔끔하고좋았음.젊음이 넘쳤던곳!화로대에 육포가나와서 인상적이였음
호프,요리주점|제리스펍|4|간단한 게임과 포켓볼 다트를 즐길수있고 다양한 맥주를 먹을수있다~~ 친구들과 씨끌벅적 놀수있는곳~~~
호프,요리주점|제리스펍|5|안주가 아주 훌륭 209
호프,요리주점|제리스펍|4|맥주 괜찮음. 안주도 독특하고, 10여명 단체정도는 커버가능. 포켓볼도 즐길 수 있다.
호프,요리주점|제리스펍|3|가끔 가는 곳. 어제는 흑맥주 라인 청소가 안됐는지 상한 맛 느껴졌음. 여름엔 관리 더 잘 하시길.
호프,요리주점|제리스펍|3|그냥 제주도 서귀포와서 갈때 없으면 갈만 함. 맥주는 브라운이었던가? 그게 제일 맛있음
호프,요리주점|제리스펍|5|분위기 좋네요ㅎㅎ
호프,요리주점|제리스펍|5|다양한 보드게임과 다트 포켓볼까지 굿!
호프,요리주점|제리스펍|5|전국 수제 맥주를 대전에서 맛있어요 맥파이 완전 좋아요 맥파이 전국확대를 꿈꾸며 한잔
호프,요리주점|제리스펍|4|맥주가 맛있고 다트람당구장도있어요
호프,요리주점|제리스펍|5|서귀포에서 가장 좋아 하는펍
호프,요리주점|제리스펍|5|Jerry's pub   jmt 외부에 있는 멋있는 남자분은 안 계십니다.
