분류|이름|주소|전화번호|대표사진주소,,
호프,요리주점|제리스펍|제주특별자치도 서귀포시 솔동산로 20 2층|064-732-4696|,
호프,요리주점|제주약수터 본점|제주특별자치도 서귀포시 중앙로 35 1층|064-805-6572|,
호프,요리주점|제주약수터 올레시장점|제주특별자치도 서귀포시 중앙로48번길 10 1층|064-901-6632|,
호프,요리주점|사우스바운더|제주특별자치도 서귀포시 예래로 33|064-738-7536|,
일본식주점|모루쿠다|제주특별자치도 서귀포시 동홍중앙로90번길 48 1층|064-762-2888|,,
일본식주점|요리바카|제주특별자치도 서귀포시 천제연로214번길 3|064-738-6984|,,
호프,요리주점|스피닝울프|제주특별자치도 서귀포시 성산읍 동류암로 20|064-766-3009|,
일본식주점|이공이시|제주특별자치도 서귀포시 중문관광로72번길 29-9|070-8838-7832|,,
호프,요리주점|팁시테이블|제주특별자치도 서귀포시 대청로 41 블루빌딩 1층 104호|064-739-8659|,
실내포장마차|좀녀와농부|제주특별자치도 서귀포시 성산읍 온평리 1286-4||,,
호프,요리주점|위미테이블|제주특별자치도 서귀포시 남원읍 태위로 180|064-900-2120|,
술집|아지|제주특별자치도 서귀포시 신서로122번길 73 지하1층|064-738-9929|,,
호프,요리주점|역전할머니맥주 서귀포신시가지점|제주특별자치도 서귀포시 김정문화로27번길 10-1|064-739-2006|,
와인바|리볼버|제주특별자치도 서귀포시 예래로 31|064-738-7537|,,
실내포장마차|빨간집 서귀포점|제주특별자치도 서귀포시 이중섭로 12-1|064-763-3411|,,
호프,요리주점|동남막걸리|제주특별자치도 서귀포시 성산읍 고성오조로 71-1 1층||,
호프,요리주점|83년생김지영|제주특별자치도 서귀포시 안덕면 신화역사로 372-4|064-794-0204|,
일본식주점|다미야 서귀포점|제주특별자치도 서귀포시 홍중로 23|064-763-5382|,,
호프,요리주점|마루아라|제주특별자치도 서귀포시 이중섭로 16 2층|064-763-1364|,
칵테일바|알리바이룸|제주특별자치도 서귀포시 성산읍 섭지코지로26번길 6|010-3982-0810|,,
호프,요리주점|기어서집까지|제주특별자치도 서귀포시 동문로 48|064-733-0891|,
호프,요리주점|우드스탁|제주특별자치도 서귀포시 이중섭로 5 2층|064-733-7875|,
호프,요리주점|엉또민속주점|제주특별자치도 서귀포시 신서귀로97번길 84|064-739-9292|,
칵테일바|바머스크|제주특별자치도 서귀포시 태평로371번길 30 라산빌딩 1층||,,
와인바|HFF|제주특별자치도 서귀포시 남원읍 태위로679번길 10||,,
호프,요리주점|주점부리|제주특별자치도 서귀포시 성산읍 성산중앙로 67||,
일본식주점|곱을락|제주특별자치도 서귀포시 신서로48번길 20-9 1층|064-738-5717|,,
칵테일바|웨이브라운지|제주특별자치도 서귀포시 색달동 2558 더플래닛전시관 1층|010-6478-2558|,,
호프,요리주점|마시오름|제주특별자치도 서귀포시 중앙로117번길 6|064-733-1989|,
호프,요리주점|주점부리 신양본점|제주특별자치도 서귀포시 성산읍 신양로 117|064-784-7868|,
일본식주점|야키토리타키비|제주특별자치도 서귀포시 중문로 8 1층|064-738-7253|,,
호프,요리주점|닐모리동동|제주특별자치도 서귀포시 중앙로47번길 1|064-732-1577|,
호프,요리주점|육지것들|제주특별자치도 서귀포시 중문동 2128-1 5,6호|010-8929-0604|
호프,요리주점|쉬림포크|제주특별자치도 서귀포시 성산읍 동류암로 47-1 2층||,
실내포장마차|육회포차 서귀포본점|제주특별자치도 서귀포시 중앙로71번길 4 1층|064-763-9977|,,
칵테일바|블랙바 서귀포점|제주특별자치도 서귀포시 솔동산로 27 1층|064-733-2727|,,
호프,요리주점|역전할머니맥주 제주동홍점|제주특별자치도 서귀포시 동홍남로 46 1층||,
호프,요리주점|밀회관 서귀포점|제주특별자치도 서귀포시 월드컵로 111 1층|064-739-3532|,
호프,요리주점|조르지네이상한가게|제주특별자치도 서귀포시 서문로28번길 3||,
