name,x,y
1943,126.4904962,33.48656692
20세기 소년,126.5296097,33.50141139
가로수길마루,126.3112316,33.46011406
가치,126.5157812,33.51644632
곱을락,126.5071148,33.25300153
곽지BAR다,126.3046189,33.44779728
금능반지하,126.2286313,33.39107334
기분,126.5319586,33.51580653
기어서집까지,126.5655741,33.24982124
김녕회관,126.7559309,33.5558924
김씨술생활 제주협재점,126.2454862,33.39796277
꼬란,126.5675887,33.24962206
노가리앤비어 도남점,126.529961,33.4965965
늘여름,126.5612858,33.24709814
다미야 서귀포점,126.5581773,33.25487027
달사막,126.6723873,33.54196882
담이자카야,126.4873067,33.48266916
닻,126.3920207,33.48608191
더부즈 제주,126.4790288,33.484132
동남막걸리,126.9145898,33.45013968
두꺼비,126.8302003,33.32032159
라비에,126.5297921,33.49869585
마루아라,126.5639215,33.24672737
마이도,126.4921327,33.48816855
모루쿠다,126.5772075,33.25807626
무시로,126.529129,33.49816852
미친부엌,126.5230319,33.51702488
바코,126.7107944,33.45852269
브루클린 제주,126.3579906,33.47678363
블랙바 서귀포점,126.5634849,33.24231461
블루홀,126.6595952,33.27435316
빨간집 서귀포점,126.5639264,33.24692791
사우스바운더,126.4023908,33.2565205
성산연화,126.9324435,33.46185702
소앵븟,126.4301735,33.48944284
술시,126.2410913,33.39246684
쉬림포크,126.9154312,33.44883157
스나쿠타카,126.4039791,33.48362403
스크루지펍,126.4906693,33.47816253
스톤아일랜드 탭하우스,126.4932566,33.49244417
스피닝울프,126.9181684,33.44986322
심야식당 코나카,126.5483507,33.4707149
십오야,126.6640407,33.54226571
싱싱잇,126.2272284,33.38639718
아일랜드스톤,126.5296529,33.49888475
알리바이룸,126.9194048,33.43858568
야키토리타키비,126.4233778,33.25252181
엉또민속주점,126.5050126,33.25149503
에스토에스디네로,126.5344797,33.48697003
역전할머니맥주노형점,126.4862987,33.48231057
올댓제주,126.5283763,33.51625464
요리바카,126.4274794,33.25130869
우드스탁,126.5643889,33.24750098
우미관,126.5297618,33.49728826
원님네포장마차,126.4929806,33.49080431
월령작야달의객잔,126.2163879,33.37942692
위미테이블,126.6666533,33.27525697
육지것들,126.4239827,33.25037253
은주식당,126.278494,33.24979614
이공이시,126.4115565,33.24969846
이듸포차,126.2512891,33.22001729
인디안썸머,126.3152008,33.46333874
제리스펍,126.563721,33.24315044
제주약수터 본점,126.5616186,33.2477456
제주약수터 올레시장점,126.5627115,33.24900578
좀녀와농부,126.9035851,33.3913131
주민상회 제주노형점,126.4787871,33.48808041
주점부리,126.9350236,33.46525909
주점부리 신양본점,126.9223094,33.43657648
찰스앤바비,126.4294852,33.2459116
창흥상회편의점포차,126.5563365,33.26428186
청담이상 신제주점,126.4845221,33.48281692
카페베트로,126.3075432,33.3065312
쿠주,126.5288536,33.49836528
팁시테이블,126.5042465,33.25273415
파라디스코 레트로퓨처,126.5275961,33.49968674
한신포차 제주연동점,126.4912422,33.48675715
해바라기,126.7200352,33.31234998
헤븐앤얼스,126.5579417,33.2477077
협재1번가,126.2421597,33.39560585
호랑이,126.6640407,33.54226571
화산2020,126.5138184,33.51580806
