name,x,y
60빈스,126.5366394,33.24155155
73st,126.4551339,33.45700501
골목카페옥수,126.3799756,33.43974971
공백,126.7150938,33.55339205
구좌상회 작업실,126.6988722,33.48568874
귤꽃다락,126.5225346,33.24641515
그계절,126.8185079,33.5318177
그러므로 파트2,126.4860375,33.46841467
그리울땐제주,126.7706281,33.30098134
그초록,126.8064009,33.55637489
노을언덕,126.483399,33.51061675
니모메,126.4309415,33.49372422
다소니,126.5176638,33.49067853
더로맨틱 내생에가장아름다운날들,126.6746378,33.4380529
더리트리브,126.3385636,33.24792965
델문도,126.6687099,33.54370227
동박낭,126.6769944,33.27603605
두갓,126.4493012,33.46460528
드르쿰다 in성산,126.9190859,33.4445124
라토커피,126.5281557,33.49870063
르토아베이스먼트,126.8442737,33.53298753
마노르블랑,126.2949866,33.25482364
마노커피하우스,126.4275301,33.25687554
마마롱,126.439181,33.45215678
마음에온,126.5259628,33.51457938
마틸다,126.3342771,33.46569725
망고레이 섭지코지점,126.9205218,33.43635671
망고홀릭 제주본점,126.4919552,33.4907168
명월국민학교,126.2648487,33.38890315
모노클제주,126.6845388,33.27290007
모뉴에트,126.9021836,33.49146492
모래비,126.7960224,33.55552173
모립,126.3097168,33.46299629
목장카페드르쿰다,126.7703916,33.40844603
미스틱3도,126.4873695,33.44999561
미쿠니,126.589629,33.52908282
바다2822,126.4129763,33.24589608
바다다,126.4367201,33.23692139
바램목장&카페,126.3525775,33.31115312
벙커하우스,126.5192248,33.24046211
베케,126.6049729,33.26195396
보롬왓카페,126.7524948,33.41349564
본카페 애월,126.3320764,33.46778322
볼스카페,126.4424823,33.25340118
북촌에가면,126.6925897,33.54801937
뷰스트,126.3034806,33.22777959
브와두스 베이커리카페 연동점,126.4903072,33.47882299
블랑로쉐,126.3044263,33.44943763
블루마운틴 4255,126.8373036,33.38008006
블루보틀 제주 카페,126.7508544,33.43327878
비브레이브 혁신도시점,126.5181753,33.25492909
빠빠라기 신제주점,126.4902894,33.48801132
빽다방 제주사수본점,126.4766227,33.5092792
사계생활,126.2963177,33.23153716
사일리커피,126.7691044,33.30651588
새빌,126.3636535,33.36155908
서귀피안,126.5288385,33.2484235
서양차관,126.6159325,33.24212272
섬타르,126.4782064,33.48757425
소라의성,126.5769551,33.2451792
소보리당로222,126.3833068,33.26293097
숑,126.6427688,33.26634681
수마,126.9338752,33.46099351
스타벅스 서귀포DT,126.5067233,33.24952285
스타벅스 성산일출봉점,126.9355002,33.46286584
스타벅스 제주성산DT점,126.9206949,33.44971096
스타벅스 제주송악산점,126.2896195,33.20683102
스타벅스 제주신화월드R점,126.316352,33.30497268
스타벅스 제주애월DT점,126.3487539,33.47270085
스타벅스 제주애월DT점,126.3487539,33.47270085
스타벅스 제주용담DT점,126.48451,33.5123994
스타벅스 제주중문DT점,126.4158559,33.25507165
스타벅스 제주중문점,126.4128217,33.25121501
스타벅스 제주함덕점,126.6686201,33.54248848
스테이위드커피,126.4557321,33.45825499
시루애월,126.391826,33.44272576
신산리마을카페,126.8768276,33.37662809
썬셋클리프,126.3107068,33.46180891
아뜰리에안,126.5059964,33.23150317
아줄레주,126.839175,33.36698563
알맞은시간,126.7691044,33.30651588
앙뚜아네트 용담점,126.5088202,33.51619947
애월더선셋,126.3088831,33.45613275
앤트러사이트 제주한림점,126.2582298,33.40789604
어니스트밀크 본점,126.8718828,33.4504118
어제보다오늘,126.4569705,33.5028543
여섯번의보름,126.5304615,33.25692415
오늘은녹차한잔,126.7910697,33.38183816
오늘의바다,126.5184983,33.24166288
오엘이에프,126.6334085,33.49398282
온오프,126.9613419,33.51291401
와랑와랑,126.6765543,33.27228745
와토커피,126.256538,33.22546233
외도339,126.4317064,33.49374153
요요무문,126.8366673,33.53809241
우무,126.2564438,33.40590023
우유부단,126.3280631,33.34762324
울트라마린,126.2060648,33.369426
원앤온리,126.3191906,33.23922351
위더스트래블 칠성점,126.5251614,33.51522771
윈드스톤,126.4360926,33.46047926
유동커피,126.5637921,33.24454226
이너프,126.4189819,33.45602411
인그리드,126.456693,33.50259784
인스밀,126.2292307,33.23847877
잔디공장,126.8732895,33.37743103
제니의정원,126.4945979,33.49506481
제레미,126.3185501,33.46444983
제주바솔트,126.539231,33.50408849
지금이순간,126.3109927,33.46041521
쪼끌락,126.755199,33.55776158
청춘부부,126.2791095,33.26592548
카페 동백,126.714416,33.50901396
카페2472,126.4164371,33.25588413
카페공작소,126.8598767,33.52464086
카페그라나다,126.4640634,33.49946645
카페글렌코,126.7332424,33.43367312
카페노티드 제주애월,126.3097278,33.46326349
카페더라이트,126.9359954,33.46563638
카페더콘테나,126.6789601,33.49808454
카페두가시,126.3666329,33.23550268
카페라라라,126.4424823,33.25340118
카페라라라,126.8789387,33.5288506
카페록록,126.8789387,33.5288506
카페루시아 본점,126.3630801,33.23522126
카페리,126.8396525,33.53395265
카페브리프,126.4156748,33.45834252
카페서연의집,126.6555676,33.26943242
카페세렌디,126.4108716,33.24993009
카페유주,126.2572364,33.40547907
카페이피엘,126.6570064,33.27520801
카페주비,126.4607671,33.50005531
카페진정성 종점,126.4628731,33.50241499
카페차롱 (휴업중),126.3542246,33.25964652
카페코지,126.9292734,33.46823026
카페콜라,126.2919211,33.44331866
카페태희,126.3044263,33.44943763
카페한라산,126.8629044,33.52472251
커피스케치,126.3132913,33.23337114
커피템플,126.5702468,33.47816475
커피파인더,126.5286788,33.49857766
코코티에,126.8446363,33.32645912
콜로세움카페,126.4885404,33.48878182
클랭블루,126.1773147,33.34487265
테라로사 서귀포점,126.6187949,33.24946839
풀베개,126.3032227,33.28551384
프로젝트064다방,126.4885404,33.48878182
플랏포커피,126.4828385,33.48698347
하르비커피,126.566671,33.24232557
하이엔드제주,126.3091595,33.46358525
허니문하우스,126.5788677,33.24416189
헤이브라더,126.5251614,33.51522771
호랑호랑,126.9215437,33.45002932
