name,x,y
1100고지습지 람사르습지,126.4634054,33.35793733
5.16도로숲터널,126.3708109,33.30044296
9.81파크,126.366509,33.39003694
가시리 조랑말체험장,126.7371719,33.38420932
가파도,126.2712404,33.16980529
강정천,126.4747427,33.25668568
강정천유원지,126.4957918,33.26491962
거린사슴,126.4516621,33.30658022
거린사슴 전망대,126.4543596,33.30728725
거문오름 탐방안내소,126.7147521,33.45691987
검멀레해변,126.9602566,33.50598314
고근산,126.5137949,33.26631482
고근산 산책로,126.5137949,33.26631482
고산일과해안도로,126.1899337,33.28219347
고살리숲길,126.5985196,33.31714528
고스트타운,126.3568418,33.47637034
광치기해변,126.9066863,33.46134289
교래자연휴양림,126.656711,33.45136457
국수문화거리,126.5324459,33.51013817
궷물오름,126.4075052,33.39708061
금능해수욕장,126.2362051,33.39040063
금오름,126.3055864,33.35569584
김녕금속공예벽화마을,126.7464293,33.55803118
김녕성세기해변 인증센터,126.7598806,33.5570246
김녕해수욕장,126.7598386,33.55710728
노루생태관찰원,126.6263085,33.44473842
논짓물해변,126.3787175,33.24121093
누웨마루거리,126.4903168,33.4858743
느지리오름,126.2616457,33.36533832
다락쉼터 인증센터,126.3403265,33.4700114
다랑쉬오름,126.8219948,33.47650388
단산,126.2871523,33.24247719
당오름,126.5588867,33.23853164
대정향교,126.2884841,33.23929013
대포주상절리대,126.4260177,33.23799435
도두동무지개해안도로,126.4724911,33.50938303
도두봉,126.4684831,33.50713853
돔베낭골,126.53276,33.26151163
동백포레스트,126.6362025,33.3003198
두맹이골목,126.5382869,33.51163148
따라비오름,126.7539202,33.3878513
라온쥬,126.2435087,33.35421508
마라도,126.2670927,33.1186178
마린파크,126.3347127,33.24080906
만장굴,126.7716158,33.52837742
만장굴입구매표소,126.7716158,33.52837742
머체왓숲길 방문객지원센터,126.6738998,33.33052259
메이즈랜드,126.8010962,33.48915525
명월성지,126.2634014,33.39671045
문도지오름,126.2950102,33.32665998
물영아리,126.691706,33.36778247
물의도시 베니스랜드,126.8407025,33.41539642
바운스슈퍼파크 제주센터,126.5094238,33.48246665
방림원,126.2685129,33.33722842
백약이오름,126.7917775,33.4373142
범섬,126.5141448,33.24314807
법환바당 인증센터,126.5150814,33.2357736
법환어촌계해녀체험센터,126.5135185,33.23405864
별방진,126.8827049,33.52685294
복자 김기량 순교현양비,126.670531,33.53692507
부림온천,126.4912453,33.47579668
붉은오름자연휴양림,126.5324459,33.51013817
비블리아성서식물원,126.2749997,33.35617098
비양도,126.2459881,33.38701241
비자림,126.8114612,33.49109728
뽀로로앤타요테마파크 제주,126.3708109,33.30044296
사계해변,126.3065141,33.23169414
사라오름,126.9066863,33.46134289
산굼부리,126.6934657,33.43242199
산굼부리매표소,126.688504,33.43487354
산방산,126.3139508,33.24239239
