분류|이름|주소|전화번호|대표사진주소,
카페|헤이브라더|제주특별자치도 서귀포시 안덕면 형제해안로 72|064-794-0072|,
카페|사일리커피|제주특별자치도 서귀포시 대정읍 최남단해안로 412|010-9904-3382|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2F3342da2a45084a271f80e2284e4b2d94a4144b83,
카페|아일랜드라디오|제주특별자치도 서귀포시 칠십리로658번길 27-13|064-900-1314|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2Fb37502f96ba0400b280e44e2f59cb8ed7215778f,
카페|원앤온리|제주특별자치도 서귀포시 안덕면 산방로 141|064-794-0117|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD5C54FB5427B4FAEA7E56464DD5F45BA,
카페|퍼시픽리솜 더클리프|제주특별자치도 서귀포시 중문관광로 154-17|064-738-8866|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC244E132D58F4B3896DD71B44BE386F5,
카페|바다다|제주특별자치도 서귀포시 대포로 148-15|064-738-2882|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FD8C666528C6E4D19BE78CF3E36DF1828,
테마카페|드르쿰다 in성산|제주특별자치도 서귀포시 성산읍 섭지코지로25번길 64|064-901-2197|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F7EEFADFC24A5408E8C53AE44A7CC6799,
커피전문점|유동커피|제주특별자치도 서귀포시 태평로 406-1|064-733-6662|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDA6708535D5A43FCA6D6B6B736B5E1DA,
디저트카페|베케|제주특별자치도 서귀포시 효돈로 54|064-732-3828|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FEAA0AD37F7324BCCAA54A9D84A569C0E,
디저트카페|마노르블랑|제주특별자치도 서귀포시 안덕면 일주서로2100번길 46|064-794-0999|,
테마카페|목장카페드르쿰다|제주특별자치도 서귀포시 표선면 성읍리 2873|064-787-5220|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FFFD5ECF4C9834F8FBCB539D453FA4D23,
