분류|이름|주소|전화번호|대표사진주소,
한식|고집돌우럭 중문점|제주특별자치도 서귀포시 일주서로 879 2층|064-738-1540|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB0D4F557A3F9468FB00BD6505C1622CA,
해물,생선|색달식당 중문본점|제주특별자치도 서귀포시 색달중앙로 23|064-738-1741|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2F5665539e11c425acd55f06c7e3145b59b8a371f1
해물,생선|맛나식당|제주특별자치도 서귀포시 성산읍 동류암로 41|064-782-4771|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F99C93605DEEA41DCA2A1410982D44ACA
회|미영이네식당|제주특별자치도 서귀포시 대정읍 하모항구로 42|064-792-0077|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5452E83D33614462BBC01F4D8A9F7AF6,
해물,생선|춘심이네 본점|제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16|064-794-4010|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F5A5FF692456249B19CC21AB3E7C90FD8
국수|가시아방국수|제주특별자치도 서귀포시 성산읍 섭지코지로 10 1층|064-783-0987|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1CDC152B50824BBE876645891AC1B64E,
국수|수두리보말칼국수|제주특별자치도 서귀포시 천제연로 192 1층|064-739-1070|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F479A60FC4D6C462FAD887B1935B2D3D9,
한식|제주 오성 본점|제주특별자치도 서귀포시 중문관광로 27 2층|064-739-3120|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F1726BA13B29C40BEA59783695DAFD5AD,
회|쌍둥이횟집|제주특별자치도 서귀포시 중정로62번길 14|064-762-0478|,
해물,생선|해왓|제주특별자치도 서귀포시 성산읍 신고로 30-1|064-782-5689|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F01227283F6C543CEB676D27267429FCA
해물,생선|네거리식당|제주특별자치도 서귀포시 서문로29번길 20|064-762-5513|
국수|당케올레국수|제주특별자치도 서귀포시 표선면 민속해안로 584|064-787-4551|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F429A732232444B94B867F900FA20D45B,
해물,생선|갈치왕|제주특별자치도 서귀포시 일주서로 1146|064-739-9333|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD89432249DBF4A4EB50B66D60F977A7A
육류,고기|돈이랑|제주특별자치도 서귀포시 일주서로 953|064-738-9277|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1E6AAF09F0EF4CC7AF17AEBE7E696F10
육류,고기|복자씨연탄구이|제주특별자치도 서귀포시 성산읍 해맞이해안로 2764|064-782-7330|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F80123C10CEDA48B09E50E5FAA6C44E4C
육류,고기|큰돈가 중문점|제주특별자치도 서귀포시 천제연로 89|064-739-0722|
회|동해미락|제주특별자치도 서귀포시 칠십리로 133|064-733-5921|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2Fb6de1b299a81d744696c77ca9e417c79499770fc,
