분류|이름|주소|전화번호|대표사진주소,,
산봉우리|성산일출봉|제주특별자치도 서귀포시 성산읍 성산리 78|064-783-0959|,,
바위|섭지코지|제주특별자치도 서귀포시 성산읍 섭지코지로 107|064-784-2810|,,
수목원,식물원|카멜리아힐|제주특별자치도 서귀포시 안덕면 병악로 166|064-792-0088|,
관광농원|동백포레스트|제주특별자치도 서귀포시 남원읍 생기악로 53-38|0507-1331-2102|,,
폭포|천지연폭포|제주특별자치도 서귀포시 서홍동 2565|064-760-6304|,,
바위|대포주상절리대|제주특별자치도 서귀포시 이어도로 36-30|064-738-1521|,,
해수욕장,해변|사계해변|제주특별자치도 서귀포시 안덕면 사계리|064-760-4372|,
테마파크|윈드1947카트테마파크|제주특별자치도 서귀포시 토평공단로 78-27|064-733-3500|,,
해수욕장,해변|용머리해안|제주특별자치도 서귀포시 안덕면 사계리|064-760-6321|,
관광농원|제주허브동산|제주특별자치도 서귀포시 표선면 돈오름로 170|064-787-7362|,,
하천|쇠소깍|제주특별자치도 서귀포시 쇠소깍로 104|064-732-9998|,,
폭포|정방폭포|제주특별자치도 서귀포시 동홍동 299-3|064-733-1530|,,
산|산방산|제주특별자치도 서귀포시 안덕면 사계리 산 16|064-794-2940|,,
해수욕장,해변|표선해수욕장|제주특별자치도 서귀포시 표선면 표선리|064-760-4992|,
숲|서귀포치유의숲|제주특별자치도 서귀포시 산록남로 2271|064-760-3067|,,
테마파크|뽀로로앤타요테마파크 제주|제주특별자치도 서귀포시 안덕면 병악로 269|064-742-8555|,,
폭포|천제연폭포|제주특별자치도 서귀포시 천제연로 132 중문관광단지 내|064-760-6331|,,
섬|마라도|제주특별자치도 서귀포시 대정읍 마라로101번길 46|064-794-2301|,,
해수욕장,해변|중문색달해수욕장|제주특별자치도 서귀포시 색달동 3039|064-760-4993|,
관광,명소|새연교|제주특별자치도 서귀포시 서홍동 707-4|064-710-6372|,
해수욕장,해변|황우지해안|제주특별자치도 서귀포시 천지동 765-7|064-760-4601|,
온천|산방산탄산온천|제주특별자치도 서귀포시 안덕면 사계북로41번길 192|064-792-8300|,,
산|송악산|제주특별자치도 서귀포시 대정읍 상모리 산 2||,,
산|한라산1100고지|제주특별자치도 서귀포시 색달동 산 1-2||,,
관광,명소|큰엉해안경승지|제주특별자치도 서귀포시 남원읍 남원리|064-740-6000|,
오름|따라비오름|제주특별자치도 서귀포시 표선면 가시리 산 63||,,
수목원,식물원|여미지식물원|제주특별자치도 서귀포시 중문관광로 93 중문단지 내|064-735-1100|,
해수욕장,해변|광치기해변|제주특별자치도 서귀포시 성산읍 오조리||,
민속촌|성읍민속마을|제주특별자치도 서귀포시 표선면 성읍정의현로 19|064-710-6797|,,
도립공원|제주곶자왈도립공원|제주특별자치도 서귀포시 대정읍 에듀시티로 178|064-792-6047|,,
수목원,식물원|제주동백수목원|제주특별자치도 서귀포시 남원읍 위미리 927|064-764-4473|,
오름|물영아리|제주특별자치도 서귀포시 남원읍 수망리 산 188|064-728-6200|,,
오름|백약이오름|제주특별자치도 서귀포시 표선면 성읍리 산 1||,,
민속촌|제주민속촌|제주특별자치도 서귀포시 표선면 민속해안로 631-34|064-787-4501|,,
관광,명소|소천지|제주특별자치도 서귀포시 보목동||,
오름|군산|제주특별자치도 서귀포시 안덕면 창천리 산 3-1||,,
관광단지|쇠소깍관광지|제주특별자치도 서귀포시 하효동|064-732-1562|,,
둘레길|송악산둘레길|제주특별자치도 서귀포시 대정읍 상모리||,,
관광농원|서귀다원|제주특별자치도 서귀포시 516로 717|064-733-0632|,,
폭포|원앙폭포|제주특별자치도 서귀포시 돈내코로 137||,,
드라이브코스|형제해안도로|제주특별자치도 서귀포시 안덕면 사계리 (군도14호선, 상모사계선)||,
관광단지|제주중문관광단지|제주특별자치도 서귀포시 중문동 2624-1|064-739-1330|,,
섬|가파도|제주특별자치도 서귀포시 대정읍 가파리 276||,,
수목원,식물원|상효원수목원|제주특별자치도 서귀포시 산록남로 2847-37|064-733-2200|,
폭포|엉또폭포|제주특별자치도 서귀포시 강정동 5628|064-760-6411|,,
자연휴양림|서귀포자연휴양림|제주특별자치도 서귀포시 하원동 산 1-1|064-738-4544|,,
테마파크|퍼시픽 리솜 마린스테이지|제주특별자치도 서귀포시 중문관광로 154-17|1544-2988|,,
관광,명소|박수기정|제주특별자치도 서귀포시 안덕면 감산리||,
관광,명소|유채꽃프라자|제주특별자치도 서귀포시 표선면 녹산로 464-65|064-787-1665|,
계곡|안덕계곡|제주특별자치도 서귀포시 안덕면 감산리 1946|064-794-9001|,,
관광농원|하례감귤체험농장|제주특별자치도 서귀포시 남원읍 중산간동로 6596-3|011-699-4755|,,
문화유적|위미동백나무군락|제주특별자치도 서귀포시 남원읍 위미중앙로300번길 23-7||,,
테마파크|소인국테마파크|제주특별자치도 서귀포시 안덕면 중산간서로 1878|064-793-5400|,,
숲|곶자왈|제주특별자치도 서귀포시 대정읍 에듀시티로 178||,,
해수욕장,해변|화순금모래해수욕장|제주특별자치도 서귀포시 안덕면 화순해안로 69|064-760-4991|,
연못|혼인지|제주특별자치도 서귀포시 성산읍 혼인지로 39-22|064-710-6798|,,
해수욕장,해변|논짓물해변|제주특별자치도 서귀포시 하예동||,
계곡|엉덩물계곡|제주특별자치도 서귀포시 색달동 3384-4||,,
자연휴양림|붉은오름자연휴양림|제주특별자치도 서귀포시 표선면 남조로 1487-73|064-782-9171|,,
올레길|서광동리곶자왈생태탐방로|제주특별자치도 서귀포시 안덕면 서광리 산 6||,,
테마파크|제주코코몽에코파크 (휴업중)|제주특별자치도 서귀포시 남원읍 태위로 536|1661-4284|,,
테마파크|다이나믹메이즈 제주도성읍점|제주특별자치도 서귀포시 표선면 번영로 2644|064-787-8774|,,
