name,x,y
제리스펍,126.563721,33.24315044
제주약수터 본점,126.5616186,33.2477456
제주약수터 올레시장점,126.5627115,33.24900578
사우스바운더,126.4023908,33.2565205
모루쿠다,126.5772075,33.25807626
요리바카,126.4274794,33.25130869
스피닝울프,126.9181684,33.44986322
이공이시,126.4115565,33.24969846
팁시테이블,126.5042465,33.25273415
좀녀와농부,126.9035851,33.3913131
위미테이블,126.6666533,33.27525697
아지,126.5091324,33.25704798
역전할머니맥주 서귀포신시가지점,126.5080471,33.25277792
리볼버,126.4025668,33.25649655
빨간집 서귀포점,126.5639264,33.24692791
동남막걸리,126.9145898,33.45013968
83년생김지영,126.327703,33.30913647
다미야 서귀포점,126.5581773,33.25487027
마루아라,126.5639215,33.24672737
알리바이룸,126.9194048,33.43858568
기어서집까지,126.5655741,33.24982124
우드스탁,126.5643889,33.24750098
엉또민속주점,126.5050126,33.25149503
바머스크,126.5637156,33.2456749
HFF,126.7190182,33.28006276
주점부리,126.9350236,33.46525909
곱을락,126.5071148,33.25300153
웨이브라운지,126.4129734,33.25521631
마시오름,126.5600459,33.2552105
주점부리 신양본점,126.9223094,33.43657648
야키토리타키비,126.4233778,33.25252181
닐모리동동,126.5614141,33.24867428
육지것들,126.4239827,33.25037253
쉬림포크,126.9154312,33.44883157
육회포차 서귀포본점,126.5608697,33.25107719
블랙바 서귀포점,126.5634849,33.24231461
역전할머니맥주 제주동홍점,126.5731973,33.2567516
밀회관 서귀포점,126.5056752,33.23987596
조르지네이상한가게,126.5584808,33.25044814
모영,126.9159981,33.44887893
모퉁이샵,126.9341575,33.4616989
임창정의소주한잔 서귀포점,126.5640047,33.24761523
찰스앤바비,126.4294852,33.2459116
뮈르,126.3875306,33.24496174
마주앉아,126.5647032,33.24757935
아지 법환점,126.5068923,33.23507366
이듸포차,126.2512891,33.22001729
두꺼비,126.8302003,33.32032159
역전할머니맥주 중문점,126.4260681,33.25150794
은주식당,126.278494,33.24979614
성산연화,126.9324435,33.46185702
데블스도어 제주신화월드점,126.317478,33.3068461
로바타탄요 제주,126.3325383,33.31007488
모모,126.5052759,33.25409737
늘여름,126.5612858,33.24709814
어른이보호구역,126.915152,33.44934421
괸당포차,126.565042,33.24234531
더쏠,126.412909,33.26104589
가가호호,126.656815,33.27443514
바다펍,126.9219543,33.43710208
숲숲포레스트,126.5099944,33.25246661
술이조화,126.4227848,33.25205653
와인씨 제주,126.3667798,33.23465518
블루홀,126.6595952,33.27435316
서핑캠퍼,126.835603,33.32558986
해바라기,126.7200352,33.31234998
소심한이층,126.9325081,33.4652096
꼬란,126.5675887,33.24962206
창흥상회편의점포차,126.5563365,33.26428186
페닌슐라 롯데호텔제주,126.4103301,33.24859961
안녕모슬포,126.2495151,33.22088144
키다리네살롱,126.3331802,33.24423511
헤븐앤얼스,126.5579417,33.2477077
이자카야범,126.5229226,33.25689825
토로,126.567268,33.24577179
취향의온도,126.9333084,33.46141345
리얼펍 제주1호점,126.5095789,33.2524006
더루머스,126.5639538,33.24457917
와라와라 서귀포서홍점,126.5559224,33.25899414
