name,x,y
헤이브라더,126.2996569,33.22559262
사일리커피,126.2758859,33.19995952
아일랜드라디오,126.6187892,33.25000539
원앤온리,126.3191906,33.23922351
퍼시픽리솜 더클리프,126.4155992,33.24504035
바다다,126.4367201,33.23692139
드르쿰다 in성산,126.9190859,33.4445124
유동커피,126.5637921,33.24454226
베케,126.6049729,33.26195396
마노르블랑,126.2949866,33.25482364
목장카페드르쿰다,126.7703916,33.40844603
휴일로,126.3662584,33.23241263
허니문하우스,126.5788677,33.24416189
뷰스트,126.3034806,33.22777959
오르다,126.9351431,33.46911696
테라로사 서귀포점,126.6187949,33.24946839
카페루시아 본점,126.3630801,33.23522126
카페서연의집,126.6555676,33.26943242
아줄레주,126.839175,33.36698563
도렐 제주본점,126.9181684,33.44986322
카페이피엘,126.6570064,33.27520801
보롬왓카페,126.7524948,33.41349564
꽃이피다앤블라썸,126.554663,33.24291736
풀베개,126.3032227,33.28551384
바다2822,126.4129763,33.24589608
호랑호랑,126.9215437,33.45002932
커피스케치,126.3132913,33.23337114
모노클제주,126.6845388,33.27290007
벙커하우스,126.5192248,33.24046211
비브레이브 혁신도시점,126.5181753,33.25492909
오늘은녹차한잔,126.7910697,33.38183816
카페바나나 중문점,126.4171261,33.25803484
와토커피,126.256538,33.22546233
카페세렌디,126.4108716,33.24993009
더리트리브,126.3385636,33.24792965
청춘부부,126.2791095,33.26592548
사계생활,126.2963177,33.23153716
랜딩커피,126.9189025,33.43550715
서귀피안,126.5288385,33.2484235
코코티에,126.8446363,33.32645912
와랑와랑,126.6765543,33.27228745
온더스톤브런치카페,126.9178471,33.47025454
스타벅스 제주중문점,126.4128217,33.25121501
서홍정원,126.5544137,33.2525878
아뜰리에안,126.5059964,33.23150317
그리울땐제주,126.7706281,33.30098134
어니스트밀크 성산점,126.929448,33.46029755
스타벅스 제주성산DT점,126.9206949,33.44971096
하르비커피,126.566671,33.24232557
텐저린카페,126.5087121,33.23628427
수마,126.9338752,33.46099351
어린왕자감귤밭,126.2815294,33.25350636
오늘의바다,126.5184983,33.24166288
스타벅스 성산일출봉점,126.9355002,33.46286584
카페블루하우스 올레시장점,126.5610112,33.25117055
스타벅스 제주중문DT점,126.4158559,33.25507165
스타벅스 서귀포DT,126.5067233,33.24952285
카페차롱 (휴업중),126.3542246,33.25964652
모카다방,126.7613843,33.29216897
볼스카페,126.4424823,33.25340118
망고레이 섭지코지점,126.9205218,33.43635671
신산리마을카페,126.8768276,33.37662809
스타벅스 제주송악산점,126.2896195,33.20683102
바램목장&카페,126.3525775,33.31115312
도바나,126.8366002,33.32676753
인스밀,126.2292307,33.23847877
마노커피하우스,126.4275301,33.25687554
사일리커피,126.2758859,33.19995952
트로피컬하이드어웨이 브런치카페,126.2912761,33.20923814
여섯번의보름,126.5304615,33.25692415
디피159,126.4378323,33.23947432
오른,126.9157543,33.47180156
어반정글,126.9211903,33.43680217
카페바르941,126.9162621,33.43497128
리틀포레스트,126.4592836,33.24480706
소라의성,126.5769551,33.2451792
숑,126.6427688,33.26634681
어니스트밀크 본점,126.8718828,33.4504118
그레이그로브,126.2998174,33.22583921
카페코지,126.9292734,33.46823026
잔디공장,126.8732895,33.37743103
서양차관,126.6159325,33.24212272
동박낭,126.6769944,33.27603605
섶섬할망카페,126.6022586,33.23791411
올디벗구디,126.4734601,33.25295943
60빈스,126.5366394,33.24155155
동백정원,126.4463738,33.24963734
귤꽃다락,126.5225346,33.24641515
스타벅스 제주신화월드R점,126.316352,33.30497268
카페두가시,126.3666329,33.23550268
카페2472,126.4164371,33.25588413
카페희상,126.8382188,33.32995005
소보리당로222,126.3833068,33.26293097
오버더윈도우,126.5613232,33.2451988
카페숨도,126.5360068,33.25029067
카페더라이트,126.9359954,33.46563638
알맞은시간,126.7691044,33.30651588
헤이브라더,126.2996569,33.22559262
블루마운틴 4255,126.8373036,33.38008006
뜻밖의발견,126.5098075,33.25986246
이름,-1,-1
콜로세움카페,126.5016173,33.48041044
카페라라라,126.8579782,33.52486897
드리넘넘,126.8010481,33.55579596
델문도,126.6687099,33.54370227
우무,126.2564438,33.40590023
새빌,126.3636535,33.36155908
애월더선셋,126.3088831,33.45613275
하이엔드제주,126.3091595,33.46358525
울트라마린,126.2060648,33.369426
공백,126.7150938,33.55339205
명월국민학교,126.2648487,33.38890315
카페더콘테나,126.6789601,33.49808454
몽상드애월,126.3092447,33.46292523
앤트러사이트 제주한림점,126.2582298,33.40789604
앙뚜아네트 용담점,126.5088202,33.51619947
카페록록,126.8789387,33.5288506
외도339,126.4317064,33.49374153
클랭블루,126.1773147,33.34487265
마틸다,126.3342771,33.46569725
카페라라라,126.8579782,33.52486897
커피템플,126.5702468,33.47816475
레이지펌프,126.3095531,33.46626713
인그리드,126.456693,33.50259784
제주바솔트,126.539231,33.50408849
썬셋클리프,126.3107068,33.46180891
제레미,126.3185501,33.46444983
구좌상회 작업실,126.6988722,33.48568874
지금이순간,126.3109927,33.46041521
카페브리프,126.4156748,33.45834252
쪼끌락,126.755199,33.55776158
이너프,126.4189819,33.45602411
두갓,126.4493012,33.46460528
미스틱3도,126.4873695,33.44999561
블랑로쉐,126.9579098,33.51568505
니모메,126.4309415,33.49372422
마마롱,126.439181,33.45215678
커피파인더,126.5286788,33.49857766
북촌에가면,126.6925897,33.54801937
골목카페옥수,126.3799756,33.43974971
