name,x,y
고집돌우럭 중문점,126.4167073,33.25798338
색달식당 중문본점,126.4134658,33.257622
맛나식당,126.916013,33.44853686
미영이네식당,126.2498104,33.2177456
춘심이네 본점,126.3705414,33.26447927
가시아방국수,126.9180787,33.43862926
수두리보말칼국수,126.4250007,33.25156657
제주 오성 본점,126.4146665,33.2557027
쌍둥이횟집,126.5629097,33.24659849
해왓,126.9171663,33.43852208
네거리식당,126.5592864,33.24851592
당케올레국수,126.8433372,33.32529348
갈치왕,126.3907603,33.26465365
돈이랑,126.4090941,33.25769805
복자씨연탄구이,126.9197504,33.4691643
큰돈가 중문점,126.4151264,33.25513449
동해미락,126.5682263,33.24366756
부두식당,126.2510317,33.21882146
가시식당,126.7714396,33.35308009
천짓골식당,126.5613052,33.2482403
칠돈가 중문점,126.4144627,33.25746296
용이식당,126.5604761,33.2511023
고씨네천지국수,126.5607595,33.25174166
자리돔횟집,126.5746131,33.25555106
뽈살집 제주본점,126.5631169,33.25066756
난드르바당,126.3710112,33.23463049
흑돼지BBQ,126.5594449,33.24651459
산방식당,126.2541983,33.22336289
국수바다 본점,126.4059666,33.25855907
삼보식당,126.559075,33.24775338
대기정,126.4285511,33.24027505
제주판타스틱버거,126.7789894,33.30847849
88버거,126.5671223,33.24924752
글라글라하와이,126.2513956,33.219648
센트로,126.567571,33.24666077
휘닉스제주섭지코지 민트레스토랑,126.9338912,33.42911341
자연스러운식당,126.5323748,33.2433989
윌라라,126.9329163,33.46289043
올레안뜰,126.5128139,33.23723196
꽃담수제버거,126.9359791,33.46297798
페를로,126.3061352,33.25673303
환이네이태리식당,126.29689,33.23073633
함쉐프키친,126.4312036,33.24086082
피제리아3657,126.3622651,33.23636575
웨이브,126.8437174,33.32527746
하례정원,126.6382276,33.26205264
봉유,126.3282139,33.28684533
만월당,126.7057137,33.27923087
까사디노아,126.3630791,33.2373984
포도호텔 레스토랑,126.3936854,33.30536047
빌레왓,126.3350072,33.25251948
비오토피아 레스토랑,126.3881075,33.30140967
마가리따은혜씨,126.9343166,33.46101241
비스트로낭,126.357153,33.25973247
몰마농,126.9156229,33.43397592
11시11분,126.5592648,33.25709728
어부피자,126.8926379,33.44332302
성산옥탑,126.9346457,33.46154111
신라호텔제주 더파크뷰,126.4086786,33.24802204
LMNT,126.4121588,33.25030323
황금빅버거 서귀포점,126.6010467,33.32572432
스모크하우스인구억,126.2783851,33.27078843
칸스,126.5629155,33.2495729
덕성원 본점,126.5633883,33.24490952
홍성방,126.2517116,33.22013803
아서원,126.6172621,33.2603508
몰질식육식당,126.4802783,33.23535869
원조마라도짜장면집,126.2668903,33.11868613
덕성원 중문점,126.4300354,33.24899028
유달식당,126.6205313,33.26222278
성산해녀짬뽕,126.935177,33.46300136
소낭식당,126.6412579,33.26585026
샤오츠 성산점,126.9181684,33.44986322
도두반점 호텔더본점,126.4064978,33.25953238
성산짬뽕,126.9315876,33.46295543
류차이,126.4316745,33.24963956
론푸드차이나,126.4269692,33.25125342
오일장반점,126.2473089,33.21977157
가파도해물짜장짬뽕,126.2733123,33.16586838
로이앤메이,126.9008895,33.40948896
와랑와랑,126.5628065,33.24478648
자금성,126.9357155,33.46425308
이비가짬뽕 신화월드점,126.3412961,33.31001631
볼고롱짬뽕,126.5594892,33.2588796
연돈,126.4071655,33.25890236
표선우동가게,126.8312864,33.32410369
협재수우동 쇠소깍직영점,126.6186797,33.25074827
소봉식당,126.3030401,33.24697243
제주고로,126.2024554,33.27115535
나무식탁,126.1916013,33.27807094
바삭돈까스 신서귀포점,126.505346,33.25255722
타쿠마,126.9184922,33.43904373
황금손가락,126.5135225,33.23490024
모루쿠다,126.5661724,33.24829912
뽕끄랑,126.5550593,33.2430378
영육일삼,126.4883404,33.23444171
히비 안도 코하쿠,126.6104496,33.26377261
표선수제돈가스,126.834785,33.32836092
잇뽕사계,126.3048907,33.24246552
가파도수산,126.251789,33.21813196
석경초밥,126.5608914,33.24915454
당포로나인돈카츠,126.8435756,33.32575974
코우,126.5062823,33.25613381
하찌,126.5371262,33.2452184
남원수제돈까스,126.7179358,33.2799192
다정한식탁,126.4262523,33.25823182
심야식당,126.5068283,33.23576171
아리,126.5554091,33.26140876
