name,x,y
성산일출봉,126.9394403,33.45916509
섭지코지,126.9264427,33.42604238
카멜리아힐,126.3683652,33.29014019
동백포레스트,126.6362025,33.3003198
천지연폭포,126.5547661,33.26641464
대포주상절리대,126.4260177,33.23799435
사계해변,126.3065141,33.23169414
윈드1947카트테마파크,126.5888282,33.2895183
용머리해안,126.3065141,33.23169414
제주허브동산,126.8147261,33.32912416
쇠소깍,126.6224066,33.25424679
정방폭포,126.5716118,33.24504397
산방산,126.3139508,33.24239239
표선해수욕장,126.8287399,33.3265291
서귀포치유의숲,126.5279023,33.29193862
뽀로로앤타요테마파크 제주,126.3708109,33.30044296
천제연폭포,126.4183742,33.2526755
마라도,126.2670927,33.1186178
중문색달해수욕장,126.4066127,33.2473606
새연교,126.5588867,33.23853164
황우지해안,126.5504563,33.24172767
산방산탄산온천,126.2988897,33.24821659
송악산,126.2906058,33.19943615
한라산1100고지,126.4628965,33.35752454
큰엉해안경승지,126.7074498,33.28616942
따라비오름,126.7539202,33.3878513
여미지식물원,126.4144764,33.2544646
광치기해변,126.9066863,33.46134289
성읍민속마을,126.8003767,33.38451064
제주곶자왈도립공원,126.2735717,33.28322215
제주동백수목원,126.6779919,33.27497507
물영아리,126.691706,33.36778247
백약이오름,126.7917775,33.4373142
제주민속촌,126.8430882,33.32128714
소천지,126.6002645,33.24571595
군산,126.3674812,33.25159739
쇠소깍관광지,126.6183384,33.25661035
송악산둘레길,126.2726557,33.22234037
서귀다원,126.5966713,33.31280068
원앙폭포,126.5819505,33.3005024
형제해안도로,126.3065141,33.23169414
제주중문관광단지,126.4206473,33.24580141
가파도,126.2712404,33.16980529
상효원수목원,126.5860085,33.30721676
엉또폭포,126.4896278,33.25649467
서귀포자연휴양림,126.4761715,33.33315334
퍼시픽 리솜 마린스테이지,126.4155992,33.24504035
박수기정,126.3542586,33.24702621
유채꽃프라자,126.7316708,33.39371195
안덕계곡,126.3586251,33.25798723
하례감귤체험농장,126.68111,33.29927211
위미동백나무군락,126.6759322,33.2731074
소인국테마파크,126.3221948,33.29064522
곶자왈,126.2735717,33.28322215
화순금모래해수욕장,126.3339459,33.2408567
혼인지,126.8940799,33.41484308
논짓물해변,126.3787175,33.24121093
엉덩물계곡,126.413411,33.24821368
붉은오름자연휴양림,126.6756706,33.40142876
서광동리곶자왈생태탐방로,126.3367549,33.28207542
제주코코몽에코파크 (휴업중),126.7082084,33.27515993
다이나믹메이즈 제주도성읍점,126.7847058,33.39911148
파더스가든,126.3647471,33.28012511
황우지선녀탕,126.5601764,33.25596382
돈내코유원지,126.5847678,33.30024099
머체왓숲길 방문객지원센터,126.6738998,33.33052259
제주올레여행자센터,126.5586574,33.24740549
일출랜드,126.8398599,33.38499937
신화테마파크,126.3075432,33.3065312
백록담,126.5354544,33.34690262
5.16도로숲터널,126.620155,33.33965926
한라산,126.5248415,33.34574979
알뜨르비행장,126.2726436,33.20445078
제주유채꽃도로,126.7328109,33.38185283
세리월드,126.5120169,33.24701674
속골,126.5601764,33.25596382
사려니숲길 관광안내소,126.6691449,33.3960409
산방산유채꽃밭,126.3065141,33.23169414
영주산,126.7997248,33.40404449
최남단체험감귤농장,126.6937537,33.28991633
성읍랜드,126.7873067,33.39859348
소정방폭포,126.5851563,33.28202017
고근산,126.5137949,33.26631482
물의도시 베니스랜드,126.8407025,33.41539642
사라오름,126.6050702,33.36412665
신양섭지해수욕장,126.923452,33.4351402
갯깍주상절리대,126.4083641,33.27899631
붉은오름,126.6691449,33.3960409
유채꽃밭,126.9082695,33.44931659
하효쇠소깍해변,126.6224885,33.25155431
월평마을 아왜낭목 쉼터,126.4585191,33.24350548
하모해수욕장,126.2539365,33.22261902
주상절리관광안내소,126.4260177,33.23799435
안성리 수국길,126.2837656,33.26965539
고살리숲길,126.5985196,33.31714528
돈내코계곡,126.5819505,33.3005024
설록다원도순,126.4828907,33.27239528
한라산둘레길 수악길,126.6092442,33.32842666
짱구네 유채꽃밭,126.8787588,33.43960298
제주올레 7코스 여행자센터,126.5586574,33.24740549
제주동백마을,126.7451097,33.32047261
