name,activity,inside,nature,photo,cafe
1100고지습지 람사르습지,0,0,1,1,0
5.16도로숲터널,0,0,1,0,0
60빈스,0,0,1,1,1
73st,0,1,0,1,1
9.81파크,1,0,0,0,0
가시리 조랑말체험장,1,0,1,1,0
가파도,0,0,1,1,0
강정천,1,0,1,1,0
강정천유원지,0,0,1,1,0
거린사슴,1,0,1,1,0
거린사슴 전망대,1,0,1,1,0
거문오름 탐방안내소,0,0,1,1,0
검멀레해변,1,0,1,1,0
고근산,1,0,1,1,0
고근산 산책로,0,0,1,1,0
고산일과해안도로,0,0,1,1,0
고살리숲길,0,0,1,1,0
고스트타운,1,0,0,1,0
골목카페옥수,0,1,1,1,1
공백,0,1,1,1,1
광치기해변,1,0,1,1,0
교래자연휴양림,1,0,1,1,0
구좌상회 작업실,0,1,1,1,1
국수문화거리,0,0,0,0,0
궷물오름,1,0,1,1,0
귤꽃다락,0,1,1,1,1
그계절,0,1,1,1,1
그러므로 파트2,0,1,1,1,1
그리울땐제주,0,1,1,1,1
그초록,0,1,0,1,1
금능해수욕장,1,0,1,1,0
금오름,1,0,1,1,0
김녕금속공예벽화마을,1,0,0,1,0
김녕성세기해변 인증센터,1,0,1,0,0
김녕해수욕장,1,0,1,1,0
노루생태관찰원,1,0,1,1,0
노을언덕,0,1,0,1,1
논짓물해변,1,0,1,1,0
누웨마루거리,1,0,1,1,0
느지리오름,1,0,1,1,0
니모메,0,1,0,1,1
다락쉼터 인증센터,1,0,0,0,0
다랑쉬오름,1,0,1,1,0
다소니,0,1,1,1,1
단산,1,0,1,1,0
당오름,1,0,1,1,0
대정향교,1,0,0,1,0
대포주상절리대,1,0,1,1,0
더로맨틱 내생에가장아름다운날들,0,1,0,1,1
더리트리브,0,1,0,1,1
델문도,0,1,1,1,1
도두동무지개해안도로,1,0,1,0,0
도두봉,1,0,1,1,0
돔베낭골,0,0,1,1,0
동박낭,0,1,1,1,1
동백포레스트,0,0,1,1,0
두갓,0,1,1,1,1
두맹이골목,1,0,1,1,0
드르쿰다 in성산,0,1,1,1,1
따라비오름,1,0,1,1,0
라온쥬,0,1,0,1,0
라토커피,0,1,0,1,1
르토아베이스먼트,0,1,0,1,1
마노르블랑,0,1,1,1,1
마노커피하우스,0,1,0,1,1
마라도,1,0,0,1,0
마린파크,1,0,1,1,0
마마롱,0,1,0,1,1
마음에온,0,1,1,1,1
마틸다,0,1,1,1,1
만장굴,0,1,1,0,0
만장굴입구매표소,1,0,1,0,0
망고레이 섭지코지점,0,1,0,1,1
망고홀릭 제주본점,0,1,0,1,1
머체왓숲길 방문객지원센터,1,0,1,0,0
메이즈랜드,1,0,0,1,0
명월국민학교,1,1,0,1,1
명월성지,1,0,1,1,0
모노클제주,0,1,0,1,1
모뉴에트,0,1,0,1,1
모래비,0,1,1,1,1
모립,0,1,0,1,1
목장카페드르쿰다,1,1,1,1,1
문도지오름,1,0,1,1,0
물영아리,1,0,1,1,0
물의도시 베니스랜드,1,0,0,1,0
미스틱3도,0,1,1,1,1
미쿠니,0,1,0,1,1
바다2822,0,1,1,1,1
바다다,0,1,1,1,1
바램목장&카페,0,1,1,1,1
바운스슈퍼파크 제주센터,1,0,1,1,0
방림원,1,1,1,1,0
백약이오름,1,0,1,1,0
범섬,0,0,1,1,0
법환바당 인증센터,1,0,0,1,0
법환어촌계해녀체험센터,1,0,1,1,0
벙커하우스,0,1,0,1,1
베케,0,1,0,1,1
별방진,1,0,1,1,0
보롬왓카페,0,1,0,1,1
복자 김기량 순교현양비,0,0,0,1,0
본카페 애월,0,1,0,1,1
볼스카페,0,1,0,1,1
부림온천,0,1,0,0,0
북촌에가면,0,1,0,1,1
붉은오름자연휴양림,0,0,1,1,0
뷰스트,0,1,0,1,1
브와두스 베이커리카페 연동점,1,1,0,1,1
블랑로쉐,0,1,1,1,1
블루마운틴 4255,1,1,0,1,1
블루보틀 제주 카페,0,1,1,1,1
비브레이브 혁신도시점,1,1,0,1,1
비블리아성서식물원,0,1,1,1,0
비양도,0,0,1,1,0
비자림,0,0,1,1,0
빠빠라기 신제주점,0,1,0,1,1
빽다방 제주사수본점,0,1,0,1,1
뽀로로앤타요테마파크 제주,1,0,1,1,0
사계생활,0,1,1,1,1
사계해변,1,0,1,1,0
사라오름,1,0,1,1,0
사일리커피,0,1,0,1,1
산굼부리,1,0,1,1,0
산굼부리매표소,0,0,1,0,0
산방산,0,0,1,1,0
산방산랜드,1,0,1,1,0
산방산유채꽃밭,0,0,1,1,0
삼다수숲길,0,0,1,1,0
삼양해수욕장,1,0,1,1,0
새빌,0,1,1,1,1
새섬,0,0,1,1,0
새연교,0,0,1,1,0
색달해안갯깍 주상절리대,0,0,1,1,0
서건도,0,0,1,1,0
서귀다원,0,0,1,1,0
서귀포자연휴양림,0,0,1,1,0
서귀포천문과학문화관,0,0,1,1,0
서귀포치유의숲,0,0,1,1,0
서귀피안,0,1,0,1,1
서양차관,0,1,0,1,1
서우봉,1,0,1,1,0
서우봉 산책로,0,0,1,1,0
서프라이즈테마파크,1,0,0,0,0
설록다원도순,0,0,1,1,0
섬타르,0,1,0,1,1
섯알오름,1,0,1,1,0
성산일출봉,1,0,1,1,0
성산일출봉 인증센터,0,0,1,1,0
성산일출해양도립공원,1,0,1,1,0
성읍민속마을,1,0,0,1,0
세리월드,1,0,0,1,0
세리월드 카트레이싱,1,0,0,0,0
세화해변,1,0,1,1,0
소금막해변,1,0,1,1,0
소남머리,1,0,1,1,0
소라의성,0,1,1,1,1
소보리당로222,0,1,0,1,1
소인국테마파크,0,0,0,1,0
소정방폭포,1,0,1,1,0
송악산,1,0,1,1,0
송악산둘레길,0,0,1,1,0
쇠머리오름,1,0,1,1,0
숑,0,1,1,1,1
수마,0,1,1,1,1
수망리 마흐니숲길,0,0,1,1,0
수산저수지,0,0,1,1,0
수월봉,1,0,1,1,0
쉬리의언덕,0,0,1,1,0
스누피가든,0,0,1,1,0
스타벅스 서귀포DT,0,1,0,1,1
스타벅스 성산일출봉점,0,1,0,1,1
스타벅스 제주성산DT점,0,1,1,1,1
스타벅스 제주송악산점,0,1,1,1,1
스타벅스 제주신화월드R점,0,1,0,1,1
스타벅스 제주애월DT점,0,1,1,1,1
스타벅스 제주애월DT점,0,1,0,1,1
스타벅스 제주용담DT점,0,1,1,1,1
스타벅스 제주중문점,0,1,0,1,1
스타벅스 제주중문DT점,0,1,1,1,1
스타벅스 제주함덕점,0,1,1,1,1
스테이위드커피,0,1,1,1,1
시루애월,0,1,1,1,1
시흥초등학교 제주올레1코스 표지석,0,0,0,0,0
식산봉,1,0,1,1,0
신산리마을카페,0,1,1,1,1
신창풍차해안,1,0,1,1,0
신화테마파크,1,0,1,1,0
썬셋클리프,0,1,0,1,1
아뜰리에안,0,1,1,1,1
아랑조을거리,0,0,0,0,0
아줄레주,0,1,0,1,1
안덕계곡,1,0,1,1,0
안돌오름,1,0,1,1,0
